Model,Scenario,MAE,STD,Num_Features
RF,Case Attributes (Baseline),296.0411882739695,248.09352053181564,100
RF,Control Flow: Events (Freq + State),284.61589506554895,230.72751327489237,122
RF,Control Flow: Frequency Only,284.61575134650917,230.72734652382726,121
RF,Control Flow: Last Two,296.0411287876221,248.09345974302815,102
RF,Full Control Flow,284.6157638553463,230.7273584065636,123
RF,Temporal Features,284.8229027567172,227.85479084850274,103
RF,Workload Features,295.9931817562836,248.06955251157027,102
RF,All Features,283.703648950717,226.98169013976224,128
XGB,Case Attributes (Baseline),276.1265129005111,259.39787870574503,100
XGB,Control Flow: Events (Freq + State),278.66871152068796,237.44161753857546,122
XGB,Control Flow: Frequency Only,277.3172411171266,239.4673336444407,121
XGB,Control Flow: Last Two,277.63186013725084,235.43636298011708,102
XGB,Full Control Flow,282.4732814180537,250.75814804882097,123
XGB,Temporal Features,282.55545982187374,242.32205651218325,103
XGB,Workload Features,281.1121574510336,241.07688816793024,102
XGB,All Features,282.5674904496845,258.88045946701527,128
LSTM,Case Attributes (Baseline),190.2852783203125,213.4508819580078,98
LSTM,Control Flow (Sequence),188.90821838378906,216.43592834472656,99
LSTM,Temporal Features,190.25152587890625,214.4416961669922,102
LSTM,Workload Features,189.34544372558594,214.55718994140625,100
LSTM,All Features,189.58184814453125,210.189208984375,105
