Model,Scenario,MAE,Num_Features
RF,Case Attributes (Baseline),166.49968358944903,5
RF,Control Flow: Events (Freq + State),169.56705321930508,26
RF,Control Flow: Frequency Only,170.43624517899462,25
RF,Control Flow: Last Two,157.8042732076673,7
RF,Full Control Flow,168.59752829304998,27
RF,Temporal Features,201.1024877367485,10
RF,Workload Features,81.60707958078763,7
RF,All Features,80.93933561913629,36
XGB,Case Attributes (Baseline),165.7722194038819,5
XGB,Control Flow: Events (Freq + State),168.7758203237065,26
XGB,Control Flow: Frequency Only,167.97877009209142,25
XGB,Control Flow: Last Two,157.13094295782741,7
XGB,Full Control Flow,167.48183864933029,27
XGB,Temporal Features,201.7845577764734,10
XGB,Workload Features,86.85251257597496,7
XGB,All Features,82.5682786519352,36
LSTM,Case Attributes (Baseline),125.06868383104556,6
LSTM,Control Flow (Sequence),96.52535001095211,7
LSTM,Temporal Features,119.16291617990655,10
LSTM,Workload Features,125.13720223970502,8
LSTM,All Features,117.07068304614486,13
